source,destination,success,hops,reason,path
289,56,True,6,reached destination,289 -> 964 -> 237 -> 501 -> 217 -> 1014 -> 56
279,210,True,4,reached destination,279 -> 669 -> 391 -> 449 -> 210
158,197,False,0,no reachable relay,158
172,84,True,3,reached destination,172 -> 809 -> 700 -> 84
173,1,True,4,reached destination,173 -> 608 -> 944 -> 993 -> 1
54,166,True,3,reached destination,54 -> 506 -> 464 -> 166
103,27,True,6,reached destination,103 -> 727 -> 136 -> 1133 -> 205 -> 642 -> 27
82,205,True,3,reached destination,82 -> 1137 -> 887 -> 205
181,156,True,5,reached destination,181 -> 712 -> 123 -> 1129 -> 609 -> 156
240,180,True,4,reached destination,240 -> 839 -> 418 -> 667 -> 180
131,80,True,5,reached destination,131 -> 514 -> 329 -> 342 -> 748 -> 80
25,90,True,6,reached destination,25 -> 724 -> 188 -> 595 -> 391 -> 946 -> 90
159,68,True,2,reached destination,159 -> 622 -> 68
250,143,True,2,reached destination,250 -> 784 -> 143
113,61,False,0,no reachable relay,113
286,133,True,2,reached destination,286 -> 713 -> 133
210,141,True,5,reached destination,210 -> 549 -> 223 -> 595 -> 977 -> 141
73,88,True,4,reached destination,73 -> 551 -> 814 -> 523 -> 88
40,181,True,3,reached destination,40 -> 554 -> 1004 -> 181
37,217,True,5,reached destination,37 -> 565 -> 170 -> 897 -> 839 -> 217
71,92,True,5,reached destination,71 -> 591 -> 145 -> 966 -> 1136 -> 92
289,7,True,3,reached destination,289 -> 1043 -> 594 -> 7
98,223,True,5,reached destination,98 -> 1152 -> 176 -> 973 -> 627 -> 223
241,203,False,0,no reachable relay,241
179,215,True,2,reached destination,179 -> 491 -> 215
52,62,False,0,no reachable relay,52
166,110,True,3,reached destination,166 -> 868 -> 1027 -> 110
163,112,False,0,no reachable relay,163
58,285,True,3,reached destination,58 -> 1139 -> 921 -> 285
6,150,True,6,reached destination,6 -> 901 -> 94 -> 1125 -> 581 -> 697 -> 150
188,185,True,5,reached destination,188 -> 595 -> 223 -> 898 -> 998 -> 185
296,59,True,5,reached destination,296 -> 512 -> 271 -> 760 -> 766 -> 59
258,0,True,2,reached destination,258 -> 1083 -> 0
101,204,True,3,reached destination,101 -> 1068 -> 462 -> 204
33,43,True,5,reached destination,33 -> 1083 -> 274 -> 599 -> 1071 -> 43
244,18,False,0,no reachable relay,244
1,9,True,4,reached destination,1 -> 568 -> 839 -> 860 -> 9
151,199,True,2,reached destination,151 -> 589 -> 199
61,86,True,4,reached destination,61 -> 716 -> 991 -> 840 -> 86
32,24,False,42,no reachable relay,32 -> 646 -> 326 -> 1141 -> 457 -> 204 -> 554 -> 37 -> 977 -> 174 -> 889 -> 188 -> 893 -> 394 -> 997 -> 256 -> 1089 -> 403 -> 417 -> 279 -> 740 -> 281 -> 1102 -> 180 -> 462 -> 124 -> 825 -> 190 -> 715 -> 285 -> 1114 -> 280 -> 972 -> 46 -> 1040 -> 106 -> 595 -> 199 -> 653 -> 223 -> 445 -> 181 -> 1004
217,203,True,5,reached destination,217 -> 472 -> 137 -> 989 -> 1124 -> 203
11,275,True,7,reached destination,11 -> 933 -> 255 -> 837 -> 416 -> 404 -> 1058 -> 275
290,186,True,3,reached destination,290 -> 871 -> 863 -> 186
111,41,True,2,reached destination,111 -> 598 -> 41
157,207,False,50,maximum hops reached,157 -> 484 -> 1024 -> 980 -> 33 -> 714 -> 271 -> 519 -> 278 -> 688 -> 325 -> 375 -> 318 -> 65 -> 852 -> 114 -> 485 -> 384 -> 828 -> 596 -> 258 -> 630 -> 1062 -> 216 -> 1094 -> 700 -> 44 -> 1101 -> 341 -> 841 -> 436 -> 883 -> 283 -> 1110 -> 35 -> 920 -> 240 -> 789 -> 104 -> 907 -> 159 -> 990 -> 156 -> 718 -> 187 -> 534 -> 103 -> 566 -> 4 -> 686 -> 246
158,221,False,0,no reachable relay,158
241,229,False,0,no reachable relay,241
102,92,True,2,reached destination,102 -> 724 -> 92
142,291,False,0,no reachable relay,142
228,171,True,5,reached destination,228 -> 1033 -> 196 -> 1080 -> 1056 -> 171
27,223,True,2,reached destination,27 -> 520 -> 223
123,260,True,5,reached destination,123 -> 496 -> 417 -> 415 -> 1153 -> 260
114,253,True,3,reached destination,114 -> 483 -> 704 -> 253
281,3,True,4,reached destination,281 -> 576 -> 381 -> 683 -> 3
183,19,True,3,reached destination,183 -> 807 -> 1058 -> 19
35,178,False,50,maximum hops reached,35 -> 684 -> 220 -> 1152 -> 868 -> 393 -> 173 -> 830 -> 12 -> 648 -> 263 -> 1130 -> 177 -> 1071 -> 118 -> 943 -> 336 -> 273 -> 450 -> 155 -> 1134 -> 292 -> 473 -> 55 -> 843 -> 91 -> 973 -> 260 -> 817 -> 43 -> 746 -> 176 -> 800 -> 93 -> 912 -> 36 -> 1099 -> 175 -> 1036 -> 135 -> 606 -> 165 -> 511 -> 170 -> 681 -> 295 -> 1026 -> 75 -> 1027 -> 30 -> 1153
134,184,False,50,maximum hops reached,134 -> 764 -> 33 -> 1076 -> 513 -> 145 -> 441 -> 197 -> 587 -> 299 -> 1025 -> 342 -> 1086 -> 1060 -> 62 -> 517 -> 63 -> 1063 -> 50 -> 483 -> 584 -> 264 -> 937 -> 804 -> 918 -> 162 -> 1056 -> 171 -> 989 -> 6 -> 1061 -> 68 -> 478 -> 254 -> 704 -> 112 -> 778 -> 80 -> 992 -> 149 -> 726 -> 44 -> 592 -> 128 -> 869 -> 115 -> 981 -> 47 -> 1115 -> 22 -> 1081
140,52,False,0,no reachable relay,140
52,204,False,0,no reachable relay,52
246,130,True,3,reached destination,246 -> 713 -> 1012 -> 130
35,0,True,3,reached destination,35 -> 566 -> 506 -> 0
47,243,False,50,maximum hops reached,47 -> 954 -> 1000 -> 815 -> 840 -> 289 -> 1009 -> 125 -> 970 -> 111 -> 757 -> 86 -> 558 -> 73 -> 871 -> 383 -> 1098 -> 314 -> 730 -> 952 -> 1078 -> 185 -> 1093 -> 301 -> 371 -> 183 -> 572 -> 312 -> 632 -> 783 -> 108 -> 979 -> 219 -> 465 -> 105 -> 649 -> 287 -> 936 -> 272 -> 793 -> 238 -> 1030 -> 262 -> 701 -> 261 -> 855 -> 31 -> 721 -> 83 -> 1011 -> 296
78,242,True,5,reached destination,78 -> 615 -> 186 -> 664 -> 1082 -> 242
0,127,False,50,maximum hops reached,0 -> 560 -> 747 -> 336 -> 890 -> 1071 -> 260 -> 782 -> 43 -> 1027 -> 91 -> 746 -> 75 -> 450 -> 388 -> 30 -> 973 -> 1137 -> 377 -> 1096 -> 100 -> 709 -> 49 -> 817 -> 177 -> 1153 -> 331 -> 107 -> 1134 -> 173 -> 711 -> 175 -> 474 -> 110 -> 676 -> 194 -> 476 -> 57 -> 497 -> 263 -> 527 -> 176 -> 1026 -> 12 -> 473 -> 3 -> 830 -> 273 -> 451 -> 85 -> 858
222,203,True,5,reached destination,222 -> 1022 -> 404 -> 17 -> 604 -> 203
22,90,True,5,reached destination,22 -> 901 -> 138 -> 796 -> 1043 -> 90
11,117,True,2,reached destination,11 -> 760 -> 117
127,176,False,0,no reachable relay,127
147,25,True,5,reached destination,147 -> 960 -> 279 -> 1044 -> 540 -> 25
77,135,True,4,reached destination,77 -> 933 -> 728 -> 853 -> 135
100,275,True,3,reached destination,100 -> 785 -> 624 -> 275
