source,destination,greedy_success,greedy_hops,greedy_reason,greedy_path,dijkstra_success,dijkstra_hops,dijkstra_delay_ms,dijkstra_path
1017,1099,False,50,maximum hops reached,1017 -> 140 -> 875 -> 417 -> 1085 -> 10 -> 905 -> 397 -> 1066 -> 113 -> 713 -> 188 -> 192 -> 190 -> 176 -> 410 -> 307 -> 402 -> 356 -> 179 -> 435 -> 71 -> 599 -> 147 -> 577 -> 388 -> 501 -> 371 -> 343 -> 383 -> 37 -> 6 -> 196 -> 782 -> 1022 -> 348 -> 613 -> 319 -> 732 -> 335 -> 642 -> 334 -> 586 -> 344 -> 761 -> 314 -> 634 -> 789 -> 500 -> 669 -> 529,True,2,4.290874789481828,1017 -> 782 -> 1099
969,1098,True,3,reached destination,969 -> 105 -> 16 -> 1098,True,5,32.71935899408609,969 -> 449 -> 791 -> 1076 -> 92 -> 1098
893,1063,False,0,no reachable relay,893,True,2,6.89494164765812,893 -> 402 -> 1063
1092,867,False,28,no reachable relay,1092 -> 297 -> 888 -> 136 -> 630 -> 85 -> 56 -> 895 -> 151 -> 491 -> 109 -> 448 -> 27 -> 1079 -> 197 -> 781 -> 283 -> 128 -> 354 -> 54 -> 390 -> 717 -> 815 -> 407 -> 879 -> 115 -> 200 -> 110 -> 736,True,7,44.6936610736078,1092 -> 174 -> 118 -> 127 -> 331 -> 54 -> 128 -> 867
1065,1010,True,4,reached destination,1065 -> 76 -> 67 -> 290 -> 1010,True,5,43.03963109798415,1065 -> 121 -> 392 -> 148 -> 122 -> 1010
915,1033,False,0,no reachable relay,915,True,6,36.12211821895504,915 -> 176 -> 996 -> 369 -> 265 -> 102 -> 1033
1004,908,True,3,reached destination,1004 -> 47 -> 176 -> 908,True,5,26.204056982257114,1004 -> 309 -> 312 -> 959 -> 176 -> 908
1059,1053,False,0,no reachable relay,1059,True,8,35.733322322625284,1059 -> 558 -> 760 -> 499 -> 988 -> 804 -> 1082 -> 505 -> 1053
1029,943,False,0,no reachable relay,1029,True,2,3.755272564051308,1029 -> 179 -> 943
1065,877,True,6,reached destination,1065 -> 15 -> 1076 -> 208 -> 164 -> 196 -> 877,True,6,49.50020705607157,1065 -> 48 -> 49 -> 47 -> 959 -> 37 -> 877
969,955,False,50,maximum hops reached,969 -> 47 -> 343 -> 889 -> 192 -> 1026 -> 435 -> 940 -> 344 -> 190 -> 356 -> 357 -> 307 -> 268 -> 176 -> 185 -> 113 -> 514 -> 196 -> 732 -> 218 -> 140 -> 788 -> 37 -> 767 -> 314 -> 529 -> 999 -> 397 -> 493 -> 538 -> 852 -> 613 -> 222 -> 500 -> 870 -> 376 -> 599 -> 373 -> 634 -> 740 -> 834 -> 417 -> 783 -> 10 -> 1049 -> 388 -> 1015 -> 312 -> 886 -> 258,True,3,17.603991734808734,969 -> 309 -> 344 -> 955
1040,1066,True,2,reached destination,1040 -> 113 -> 1066,True,2,6.660356373830989,1040 -> 147 -> 1066
1076,982,False,1,no reachable relay,1076 -> 208,True,7,49.01410743502507,1076 -> 791 -> 449 -> 790 -> 530 -> 529 -> 501 -> 982
954,1074,True,6,reached destination,954 -> 47 -> 1087 -> 371 -> 29 -> 262 -> 1074,True,8,51.01408751424422,954 -> 309 -> 312 -> 959 -> 176 -> 996 -> 561 -> 735 -> 1074
868,1039,False,0,no reachable relay,868,True,7,49.235872113664584,868 -> 485 -> 719 -> 484 -> 985 -> 679 -> 552 -> 1039
994,957,False,50,maximum hops reached,994 -> 307 -> 335 -> 140 -> 218 -> 113 -> 634 -> 176 -> 577 -> 388 -> 435 -> 188 -> 343 -> 71 -> 192 -> 147 -> 344 -> 397 -> 37 -> 417 -> 185 -> 10 -> 196 -> 190 -> 356 -> 410 -> 314 -> 402 -> 174 -> 179 -> 613 -> 1066 -> 383 -> 732 -> 371 -> 501 -> 258 -> 782 -> 268 -> 599 -> 334 -> 500 -> 586 -> 529 -> 761 -> 514 -> 831 -> 642 -> 692 -> 1072 -> 6,True,2,8.208169450786821,994 -> 113 -> 957
1093,908,False,0,no reachable relay,1093,True,4,24.80523555570783,1093 -> 317 -> 316 -> 319 -> 908
951,977,False,50,maximum hops reached,951 -> 10 -> 875 -> 397 -> 1085 -> 140 -> 905 -> 417 -> 908 -> 190 -> 192 -> 402 -> 307 -> 410 -> 435 -> 179 -> 356 -> 6 -> 113 -> 642 -> 71 -> 599 -> 188 -> 634 -> 383 -> 176 -> 348 -> 343 -> 319 -> 501 -> 335 -> 577 -> 147 -> 538 -> 388 -> 669 -> 37 -> 782 -> 1022 -> 316 -> 613 -> 329 -> 939 -> 371 -> 761 -> 344 -> 586 -> 732 -> 663 -> 500 -> 713,True,2,5.906312919358584,951 -> 140 -> 977
998,1045,False,0,no reachable relay,998,True,2,9.647206671399264,998 -> 500 -> 1045
1012,972,False,0,no reachable relay,1012,True,2,4.274713530711233,1012 -> 140 -> 972
